id,separationtype,cease_date,dete_start_date,role_start_date,position,classification,region,business_unit,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,dissatisfaction_with_the_department,physical_work_environment,lack_of_recognition,lack_of_job_security,work_location,employment_conditions,maternity/family,relocation,study/travel,ill_health,traumatic_incident,work_life_balance,workload,none_of_the_above,gender,age,aboriginal,torres_strait,south_sea,disability,nesb,cease_year,institute_service,institute,Institute,WorkArea,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,role_service,dissatisfied,service_cat,age_group
23.0,Resignation-Other reasons,2012,1997.0,1998.0,School Administrative Staff,,Metropolitan,,Permanent Part-time,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
24.0,Resignation-Other reasons,2012,1973.0,2012.0,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
26.0,Resignation-Other reasons,2012,1995.0,2002.0,Teacher,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
28.0,Resignation-Other employer,2012,2005.0,2011.0,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,Yes,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
34.0,Resignation-Other reasons,2012,2003.0,2003.0,Teacher,Secondary,,,Permanent Full-time,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,Male,,,,,Yes,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
35.0,Resignation-Other reasons,2012,2006.0,2009.0,Cleaner,,Central Office,Education Queensland,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
38.0,Resignation-Other reasons,2012,2011.0,2011.0,Teacher Aide,,Central Queensland,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
40.0,Resignation-Move overseas/interstate,2012,,,Teacher,,Central Queensland,,Permanent Full-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,,DETE,,,,,,,,,,,,,,,,0.0,,
41.0,Resignation-Other employer,2012,1977.0,1980.0,Teacher,Primary,South East,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
42.0,Resignation-Other reasons,2012,1974.0,1994.0,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
43.0,Resignation-Move overseas/interstate,2012,2011.0,2011.0,Cleaner,,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
44.0,Resignation-Other reasons,2012,1976.0,1976.0,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
49.0,Resignation-Move overseas/interstate,2012,2009.0,2010.0,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
51.0,Resignation-Move overseas/interstate,2012,2009.0,2010.0,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
52.0,Resignation-Other reasons,2012,1993.0,1993.0,Cleaner,,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
56.0,Resignation-Other employer,2012,2008.0,2008.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
58.0,Resignation-Other employer,2012,2003.0,2012.0,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
62.0,Resignation-Other reasons,2012,2011.0,2011.0,Schools Officer,,Central Queensland,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
70.0,Resignation-Other reasons,2012,2006.0,,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
72.0,Resignation-Other reasons,2012,2011.0,2011.0,Teacher Aide,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
88.0,Resignation-Move overseas/interstate,2012,2007.0,2007.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
91.0,Resignation-Other employer,2012,1986.0,1986.0,Teacher Aide,,North Coast,,Permanent Part-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
94.0,Resignation-Move overseas/interstate,2012,2002.0,2002.0,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
100.0,Resignation-Move overseas/interstate,2012,2011.0,2011.0,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
101.0,Resignation-Other reasons,2012,2006.0,2008.0,Teacher Aide,,,,Permanent Part-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
103.0,Resignation-Other reasons,2012,2002.0,2007.0,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
104.0,Resignation-Other reasons,2012,2004.0,2008.0,,,Metropolitan,,Permanent Part-time,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
107.0,Resignation-Other reasons,2012,,,Teacher Aide,,Central Office,Training and Tertiary Education Queensland,Temporary Part-time,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,Female,,,,Yes,,,2012.0,,DETE,,,,,,,,,,,,,,,,0.0,,
109.0,Resignation-Other reasons,2012,2008.0,2009.0,Technical Officer,,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
112.0,Resignation-Other reasons,2012,2004.0,2004.0,Teacher,Special Education,Far North Queensland,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
113.0,Resignation-Other reasons,2012,2007.0,2007.0,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
115.0,Resignation-Move overseas/interstate,2012,1997.0,2004.0,Guidance Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
117.0,Resignation-Other reasons,2012,1976.0,1976.0,,,South East,,Permanent Full-time,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
119.0,Resignation-Other employer,2012,2010.0,2010.0,Teacher,Secondary,,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
125.0,Resignation-Other employer,2012,2012.0,2012.0,Public Servant,A01-A04,Darling Downs South West,,Permanent Part-time,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
127.0,Resignation-Other reasons,2012,1980.0,1989.0,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
131.0,Resignation-Other employer,2012,2012.0,2012.0,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
133.0,Resignation-Other reasons,2012,2007.0,2010.0,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
136.0,Resignation-Other reasons,2012,1994.0,1994.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
139.0,Resignation-Other employer,2012,2004.0,2005.0,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
141.0,Resignation-Other employer,2012,,,Teacher Aide,,Metropolitan,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,,DETE,,,,,,,,,,,,,,,,0.0,,
146.0,Resignation-Other reasons,2012,2007.0,2007.0,Cleaner,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
148.0,Resignation-Other employer,2012,2003.0,2003.0,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
159.0,Resignation-Other employer,2012,2011.0,2011.0,Public Servant,A01-A04,Central Office,Other,Temporary Part-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
161.0,Resignation-Other reasons,2012,2003.0,2003.0,Cleaner,,South East,,Permanent Part-time,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
165.0,Resignation-Other employer,2012,2005.0,2009.0,Teacher Aide,,Central Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
180.0,Resignation-Other reasons,2012,2012.0,2012.0,Cleaner,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
184.0,Resignation-Other reasons,2012,1998.0,1998.0,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,Yes,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
186.0,Resignation-Other reasons,2012,2005.0,2005.0,Cleaner,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
190.0,Resignation-Other employer,2012,2006.0,2007.0,Public Servant,AO8 and Above,Central Office,Other,Permanent Full-time,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,Female,,Yes,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
193.0,Resignation-Other reasons,2012,1995.0,2001.0,Teacher Aide,,Far North Queensland,,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
196.0,Resignation-Other employer,2012,1989.0,2010.0,Technical Officer,,North Coast,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
197.0,Resignation-Other reasons,2012,,,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,,DETE,,,,,,,,,,,,,,,,0.0,,
198.0,Resignation-Other employer,2012,2005.0,2005.0,Public Servant,A01-A04,South East,,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
205.0,Resignation-Other employer,2012,2008.0,2010.0,Public Servant,A01-A04,Central Office,Finance,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
206.0,Resignation-Other reasons,2012,2006.0,2006.0,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
211.0,Resignation-Move overseas/interstate,2012,2007.0,2007.0,Professional Officer,PO1-PO4,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
213.0,Resignation-Other reasons,2012,1986.0,1997.0,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
215.0,Resignation-Other reasons,2012,1999.0,2011.0,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
224.0,Resignation-Other reasons,2012,1996.0,2006.0,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
225.0,Resignation-Other reasons,2012,2009.0,2009.0,Teacher,Secondary,,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
229.0,Resignation-Other reasons,2012,1994.0,2012.0,Cleaner,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
236.0,Resignation-Move overseas/interstate,2012,2009.0,2009.0,Technical Officer,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
248.0,Resignation-Move overseas/interstate,2013,2007.0,2007.0,"School Based Professional Staff (Therapist, nurse, etc)",PO1-PO4,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,,,,,,,2013.0,15705.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
249.0,Resignation-Move overseas/interstate,2012,2011.0,2011.0,Teacher,Primary,Far North Queensland,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
251.0,Resignation-Other reasons,2013,2006.0,2006.0,Teacher,Primary,,,Permanent Full-time,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,Male,,,,,,,2013.0,15705.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
255.0,Resignation-Other reasons,2012,2000.0,2012.0,Teacher,Secondary,Central Queensland,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
256.0,Resignation-Other employer,2012,2008.0,2012.0,Cleaner,,South East,,Permanent Part-time,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
257.0,Resignation-Move overseas/interstate,2012,2005.0,2005.0,Teacher Aide,,,,Permanent Part-time,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
258.0,Resignation-Other reasons,2012,2012.0,2012.0,Public Servant,A01-A04,Darling Downs South West,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
259.0,Resignation-Other employer,2012,2007.0,2007.0,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
260.0,Resignation-Move overseas/interstate,2012,2008.0,2008.0,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
263.0,Resignation-Move overseas/interstate,2013,2011.0,2011.0,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Male,,,,,,,2013.0,15705.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
264.0,Resignation-Move overseas/interstate,2013,2009.0,2012.0,Teacher,Special Education,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,,,,,,,2013.0,15705.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
265.0,Resignation-Other reasons,2012,2011.0,2011.0,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,,Yes,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
268.0,Resignation-Other employer,2012,2011.0,2011.0,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
269.0,Resignation-Move overseas/interstate,2012,2011.0,2012.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
270.0,Resignation-Other reasons,2012,2010.0,2010.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
274.0,Resignation-Other reasons,2012,1991.0,2007.0,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
275.0,Resignation-Other employer,2013,2011.0,2011.0,Public Servant,A01-A04,,,Temporary Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2013.0,15705.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
280.0,Resignation-Other reasons,2012,1992.0,1992.0,Cleaner,,,,Permanent Part-time,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
284.0,Resignation-Other employer,2012,2007.0,2007.0,Teacher,Secondary,North Coast,,Permanent Full-time,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
285.0,Resignation-Other employer,2012,2007.0,2008.0,Teacher,Secondary,North Coast,,Permanent Full-time,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
286.0,Resignation-Move overseas/interstate,2012,2012.0,2012.0,Cleaner,,,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
287.0,Resignation-Other employer,2012,2012.0,2012.0,Teacher Aide,,,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
